Id,full_scorecard,Season,team1,team2,team1_score,team2_score,toss_winner,toss_choice,winner,margin,man_of_the_match,stadium,place,winner_update,Season_update
148,https://stats.espncricinfo.com/ci/engine/match/1216516.html,2020,Sunrisers Hyderabad,Chennai Super Kings,164,157,Sunrisers Hyderabad,Bat,Sunrisers,7 runs,Priyam Garg,Dubai International Cricket Stadium,Dubai,Hyderabad,2020
149,https://stats.espncricinfo.com/ci/engine/match/1216514.html,2020,Rajasthan Royals,Royal Challengers Bangalore,154,158,Rajasthan Royals,Bat,RCB,8 wickets,Yuzvendra Chahal,Zayed Cricket Stadium,Abu Dhabi,Banglore,2020
150,https://stats.espncricinfo.com/ci/engine/match/1216515.html,2020,Delhi Capitals,Kolkata Knight Riders,228,210,Kolkata Knight Riders,Field,Capitals,18 runs,Shreyas Iyer,Sharjah Cricket Stadium,Sharjah,Delhi,2020
151,https://stats.espncricinfo.com/ci/engine/match/1216538.html,2020,Mumbai Indians,Sunrisers Hyderabad,208,174,Mumbai Indians,Bat,Mumbai,34 runs,Trent Boult,Sharjah Cricket Stadium,Sharjah,Mumbai,2020
152,https://stats.espncricinfo.com/ci/engine/match/1216513.html,2020,Kings XI Punjab,Chennai Super Kings,178,181,Kings XI Punjab,Bat,Super,10 wickets,Shane Watson,Dubai International Cricket Stadium,Dubai,Chennai,2020
153,https://stats.espncricinfo.com/ci/engine/match/1216519.html,2020,Delhi Capitals,Royal Challengers Bangalore,196,137,Royal Challengers Bangalore,Field,Capitals,59 runs,Axar Patel,Dubai International Cricket Stadium,Dubai,Delhi,2020
154,https://stats.espncricinfo.com/ci/engine/match/1216511.html,2020,Mumbai Indians,Rajasthan Royals,193,136,Mumbai Indians,Bat,Mumbai,57 runs,Suryakumar Yadav,Zayed Cricket Stadium,Abu Dhabi,Mumbai,2020
155,https://stats.espncricinfo.com/ci/engine/match/1216501.html,2020,Kolkata Knight Riders,Chennai Super Kings,167,157,Kolkata Knight Riders,Bat,KKR,10 runs,Rahul Tripathi,Zayed Cricket Stadium,Abu Dhabi,Kolkata,2020
156,https://stats.espncricinfo.com/ci/engine/match/1216542.html,2020,Sunrisers Hyderabad,Kings XI Punjab,201,132,Sunrisers Hyderabad,Bat,Sunrisers,69 runs,Jonny Bairstow,Dubai International Cricket Stadium,Dubai,Hyderabad,2020
157,https://stats.espncricinfo.com/ci/engine/match/1216500.html,2020,Delhi Capitals,Rajasthan Royals,184,138,Rajasthan Royals,Field,Capitals,46 runs,Ravichandran Ashwin,Sharjah Cricket Stadium,Sharjah,Delhi,2020
158,https://stats.espncricinfo.com/ci/engine/match/1216523.html,2020,Kolkata Knight Riders,Kings XI Punjab,164,162,Kolkata Knight Riders,Bat,KKR,2 runs,Dinesh Karthik,Zayed Cricket Stadium,Abu Dhabi,Kolkata,2020
159,https://stats.espncricinfo.com/ci/engine/match/1216525.html,2020,Royal Challengers Bangalore,Chennai Super Kings,169,132,Royal Challengers Bangalore,Bat,RCB,37 runs,Virat Kohli,Dubai International Cricket Stadium,Dubai,Banglore,2020
